Species,Barcode,State,Variegation,Long_petiole_hair,Short_petiole_hair,Upper_lamina_hair,Tooth_length,Tooth_Width,Flower_length,Hypanthium_long,Hypanthium_short,Flower_width,Stamen_length,Style_length,Pedicel_lengths,Cymule_branches,Thyrse_length
HIRSUTICAULIS,E1526,Arkansas,None,1.037,0.333,0.000,4.711,2.120,3.759,1.353,1.350,2.570,3.082,4.079,1.522,9.539,557.824
HIRSUTICAULIS,E1526,Arkansas,None,1.090,0.439,0.000,5.397,2.196,3.591,1.522,1.326,2.154,3.552,2.834,1.177,11.338,
HIRSUTICAULIS,E1526,Arkansas,None,1.037,0.608,0.000,3.513,1.094,3.967,1.629,1.534,2.133,5.112,2.819,1.377,7.474,
HIRSUTICAULIS,E1698,Illinois,None,0.996,0.503,0.000,5.018,1.834,3.732,1.453,1.138,2.201,2.670,2.220,1.657,35.668,831.839
HIRSUTICAULIS,E1698,Illinois,None,0.938,0.830,0.000,6.881,2.667,3.711,1.343,1.114,2.234,2.218,2.341,2.082,29.281,776.706
HIRSUTICAULIS,E1698,Illinois,None,0.954,0.450,0.000,3.513,2.898,,,,,2.564,,1.738,21.696,
HIRSUTICAULIS,E1697,Illinois,None,1.484,0.958,0.000,2.794,0.839,,,,,,,5.071,16.716,
HIRSUTICAULIS,E1697,Illinois,None,1.377,0.744,0.000,2.966,1.065,,,,,,,4.007,,
HIRSUTICAULIS,E1697,Illinois,None,1.359,0.539,0.000,3.513,1.014,,,,,,,3.542,,
HIRSUTICAULIS,E1695,Illinois,None,1.411,0.689,0.000,6.475,2.343,,,,,,,,,
HIRSUTICAULIS,E1695,Illinois,None,1.269,0.638,0.000,4.529,1.121,,,,,,,,,
HIRSUTICAULIS,E1695,Illinois,None,1.579,0.460,0.000,7.357,2.040,,,,,,,,,
HIRSUTICAULIS,E1700,Indiana,None,1.514,0.792,0.000,5.264,4.044,4.122,1.399,1.092,2.901,3.000,4.766,3.467,15.698,629.752
HIRSUTICAULIS,E1700,Indiana,None,1.323,0.927,0.000,5.667,2.791,3.707,1.139,0.676,2.337,3.924,4.966,3.240,17.619,
HIRSUTICAULIS,E1700,Indiana,None,1.529,0.994,0.000,6.971,3.385,3.592,0.823,0.793,3.084,3.666,4.049,2.825,22.267,
HIRSUTICAULIS,E1702,Indiana,None,1.504,0.707,0.000,7.635,2.772,4.985,1.146,1.144,3.102,3.420,5.039,4.095,12.566,627.891
HIRSUTICAULIS,E1702,Indiana,None,1.853,0.892,0.000,8.133,2.378,4.419,1.306,0.819,3.196,2.935,5.347,4.222,9.632,679.411
HIRSUTICAULIS,E1702,Indiana,None,1.333,0.852,0.000,6.947,2.627,4.675,1.153,0.785,2.811,2.776,4.112,8.172,10.941,
HIRSUTICAULIS,E1699,Indiana,None,1.408,0.629,0.000,6.696,1.922,3.680,0.930,0.581,3.239,3.751,4.053,2.450,41.173,859.028
HIRSUTICAULIS,E1699,Indiana,None,1.193,0.615,0.000,7.235,1.957,4.345,2.181,2.158,2.133,3.401,4.772,3.505,16.625,
HIRSUTICAULIS,E1699,Indiana,None,1.274,0.879,0.000,6.449,2.031,3.704,2.257,1.992,2.564,3.766,4.077,3.075,32.503,
HIRSUTICAULIS,E1536,Kentucky,None,3.278,1.083,0.000,6.911,2.569,2.951,0.832,0.661,2.710,2.898,3.419,6.674,24.638,877.442
